Event timestamp,Event ID,Event type,Calling object,Calling object identity hashcode,Method return type,Method name,Method call depth,Method parameters number,Parameters types,Parameters values
1541008407079,1072408673,call,NA,NA, ,javachat.JavaChat.<clinit>,0,0,NA,NA
1541008407080,1531448569,call,NA,NA, ,javachat.JavaChat.instance,1,1,NULL,NULL
1541008407080,1531448569,return,NA,0,NA,NA,NA,NA,NA,NA
1541008407080,1072408673,return,NA,0,NA,NA,NA,NA,NA,NA
1541008407080,1867083167,call,NA,NA,void,javachat.JavaChat.main,0,1,[Ljava.lang.String;,[Ljava.lang.String;@b4c966a
1541008407081,793589513,call,NA,NA,class [Ljavax.swing.UIManager$LookAndFeelInfo;,javax.swing.UIManager.getInstalledLookAndFeels,1,0,NA,NA
1541008407083,793589513,return,[Ljavax.swing.UIManager$LookAndFeelInfo;@23ab930d,0,NA,NA,NA,NA,NA,NA
1541008407231,1161082381,call,javax.swing.UIManager$LookAndFeelInfo[Metal javax.swing.plaf.metal.MetalLookAndFeel],1637506559,class java.lang.String,javax.swing.UIManager$LookAndFeelInfo.getName,1,0,NA,NA
1541008407231,1161082381,return,Metal,1637506559,NA,NA,NA,NA,NA,NA
1541008407231,517380410,call,Nimbus,2117255219,boolean,java.lang.String.equals,1,1,java.lang.String,Metal
1541008407231,517380410,return,false,2117255219,NA,NA,NA,NA,NA,NA
1541008407233,1673605040,call,javax.swing.UIManager$LookAndFeelInfo[Nimbus javax.swing.plaf.nimbus.NimbusLookAndFeel],186276003,class java.lang.String,javax.swing.UIManager$LookAndFeelInfo.getName,1,0,NA,NA
1541008407233,1673605040,return,Nimbus,186276003,NA,NA,NA,NA,NA,NA
1541008407233,1681433494,call,Nimbus,2117255219,boolean,java.lang.String.equals,1,1,java.lang.String,Nimbus
1541008407233,1681433494,return,true,2117255219,NA,NA,NA,NA,NA,NA
1541008407234,237061348,call,javax.swing.UIManager$LookAndFeelInfo[Nimbus javax.swing.plaf.nimbus.NimbusLookAndFeel],186276003,class java.lang.String,javax.swing.UIManager$LookAndFeelInfo.getClassName,1,0,NA,NA
1541008407234,237061348,return,javax.swing.plaf.nimbus.NimbusLookAndFeel,186276003,NA,NA,NA,NA,NA,NA
1541008407234,1685538367,call,NA,NA,void,javax.swing.UIManager.setLookAndFeel,1,1,java.lang.String,javax.swing.plaf.nimbus.NimbusLookAndFeel
1541008407234,1685538367,return,NA,0,NA,NA,NA,NA,NA,NA
1541008407313,1940447180,call,NA,NA,class java.lang.Runtime,java.lang.Runtime.getRuntime,1,0,NA,NA
1541008407313,1940447180,return,java.lang.Runtime@7e774085,0,NA,NA,NA,NA,NA,NA
1541008407313,1066376662,call,NA,NA,class java.lang.Runtime,javachat.JavaChat$1.<init>,1,0,NA,NA
1541008407314,183264084,call,NA,NA,class java.lang.Runtime,javachat.JavaChat$1.<clinit>,2,0,NA,NA
1541008407314,183264084,return,NA,0,NA,NA,NA,NA,NA,NA
1541008407314,476402209,call,NA,NA,class java.lang.Runtime,javachat.JavaChat$1.<init>,2,0,NA,NA
1541008407314,1490180672,call,Thread[Thread-1(comma)5(comma)main],460332449,class java.lang.Runtime,javachat.JavaChat$1.<init>,2,0,NA,NA
1541008407315,1919892312,call,Thread[Thread-1(comma)5(comma)main],460332449,class java.lang.Runtime,javachat.JavaChat$1.<init>,3,0,NA,NA
1541008407315,1919892312,return,NA,460332449,NA,NA,NA,NA,NA,NA
