Event timestamp,Event ID,Event type,Calling object,Calling object identity hashcode,Method return type,Method name,Method call depth,Method parameters number,Parameters types,Parameters values
1541009258085,668386784,call,NA,NA, ,SemaphoreTest.<clinit>,0,0,NA,NA
1541009258086,2065951873,call,NA,NA, ,java.util.concurrent.Semaphore.<init>,1,1,java.lang.Integer,4
1541009258086,2065951873,return,java.util.concurrent.Semaphore@3feba861[Permits = 4],0,NA,NA,NA,NA,NA,NA
1541009258087,1531448569,call,NA,NA, ,SemaphoreTest.semaphore,1,1,java.util.concurrent.Semaphore,java.util.concurrent.Semaphore@3feba861[Permits = 4]
1541009258087,1531448569,return,NA,0,NA,NA,NA,NA,NA,NA
1541009258085,668386784,return,NA,0,NA,NA,NA,NA,NA,NA
1541009258087,1867083167,call,NA,NA,void,SemaphoreTest.main,0,1,[Ljava.lang.String;,[Ljava.lang.String;@b4c966a
1541009258088,793589513,call,NA,NA,void,java.lang.System.out,1,0,NA,NA
1541009258088,793589513,return,java.io.PrintStream@4e50df2e,0,NA,NA,NA,NA,NA,NA
1541009258088,495053715,call,NA,NA,void,java.lang.StringBuilder.<init>,1,1,java.lang.String,Total available Semaphore permits : 
1541009258088,495053715,return,Total available Semaphore permits : ,0,NA,NA,NA,NA,NA,NA
1541009258088,1922154895,call,NA,NA,void,SemaphoreTest.semaphore,1,0,NA,NA
1541009258088,1922154895,return,java.util.concurrent.Semaphore@3feba861[Permits = 4],0,NA,NA,NA,NA,NA,NA
1541009258088,883049899,call,java.util.concurrent.Semaphore@3feba861[Permits = 4],1072408673,int,java.util.concurrent.Semaphore.availablePermits,1,0,NA,NA
1541009258088,883049899,return,4,1072408673,NA,NA,NA,NA,NA,NA
1541009258088,1854731462,call,Total available Semaphore permits : ,885284298,class java.lang.StringBuilder,java.lang.StringBuilder.append,1,1,java.lang.Integer,4
1541009258089,1854731462,return,Total available Semaphore permits : 4,885284298,NA,NA,NA,NA,NA,NA
1541009258089,1389133897,call,Total available Semaphore permits : 4,885284298,class java.lang.String,java.lang.StringBuilder.toString,1,0,NA,NA
1541009258089,1389133897,return,Total available Semaphore permits : 4,885284298,NA,NA,NA,NA,NA,NA
1541009258089,1534030866,call,java.io.PrintStream@4e50df2e,1313922862,void,java.io.PrintStream.println,1,1,java.lang.String,Total available Semaphore permits : 4
1541009258090,1534030866,return,NA,1313922862,NA,NA,NA,NA,NA,NA
1541009258090,824909230,call,NA,NA,void,SemaphoreTest$MyATMThread.<init>,1,1,java.lang.String,A
1541009258100,122883338,call,NA,NA,void,SemaphoreTest$MyATMThread.<clinit>,2,0,NA,NA
1541009258100,122883338,return,NA,0,NA,NA,NA,NA,NA,NA
1541009258100,666641942,call,NA,NA,void,SemaphoreTest$MyATMThread.<init>,2,1,java.lang.String,A
1541009258100,960604060,call,Thread[Thread-0(comma)5(comma)main],1349393271,void,SemaphoreTest$MyATMThread.<init>,2,1,java.lang.String,A
1541009258101,1338668845,call,Thread[Thread-0(comma)5(comma)main],1349393271,void,SemaphoreTest$MyATMThread.<init>,3,1,java.lang.String,A
1541009258101,159413332,call,Thread[Thread-0(comma)5(comma)main],1349393271,void,SemaphoreTest$MyATMThread.name,4,1,java.lang.String,
1541009258101,159413332,return,NA,1349393271,NA,NA,NA,NA,NA,NA
1541009258101,1028214719,call,Thread[Thread-0(comma)5(comma)main],1349393271,void,SemaphoreTest$MyATMThread.name,4,1,java.lang.String,A
1541009258101,1028214719,return,NA,1349393271,NA,NA,NA,NA,NA,NA
1541009258101,1338668845,return,NA,1349393271,NA,NA,NA,NA,NA,NA
1541009258090,824909230,return,Thread[Thread-0(comma)5(comma)main],1349393271,NA,NA,NA,NA,NA,NA
1541009258101,500977346,call,Thread[Thread-0(comma)5(comma)main],1349393271,void,SemaphoreTest$MyATMThread.start,1,0,NA,NA
1541009258102,500977346,return,NA,1349393271,NA,NA,NA,NA,NA,NA
1541009258102,2094548358,call,NA,NA,void,SemaphoreTest$MyATMThread.<init>,1,1,java.lang.String,B
1541009258102,51228289,call,NA,NA,void,SemaphoreTest$MyATMThread.<init>,2,1,java.lang.String,B
1541009258102,455896770,call,Thread[Thread-1(comma)5(comma)main],1323165413,void,SemaphoreTest$MyATMThread.<init>,2,1,java.lang.String,B
1541009258102,1880587981,call,Thread[Thread-1(comma)5(comma)main],1323165413,void,SemaphoreTest$MyATMThread.<init>,4,1,java.lang.String,B
1541009258102,1505375615,call,Thread[Thread-1(comma)5(comma)main],1323165413,void,SemaphoreTest$MyATMThread.run,4,1,java.lang.String,B,0,NA,NA
1541009258102,511754216,call,Thread[Thread-1(comma)5(comma)main],1323165413,void,SemaphoreTest$MyATMThread.name,5,1,java.lang.String,
1541009258102,1467859000,call,NA,NA,void,java.lang.System.out,6,0,NA,NA
1541009258102,511754216,return,NA,0,NA,NA,NA,NA,NA,NA
1541009258102,1467859000,return,java.io.PrintStream@4e50df2e,0,NA,NA,NA,NA,NA,NA
1541009258103,1721931908,call,Thread[Thread-1(comma)5(comma)main],1349393271,void,SemaphoreTest$MyATMThread.name,6,1,java.lang.String,B
1541009258103,1396858383,call,Thread[Thread-0(comma)5(comma)main],1349393271,void,SemaphoreTest$MyATMThread.name,6,1,java.lang.String,B,0,NA,NA
1541009258103,1721931908,return,NA,1349393271,NA,NA,NA,NA,NA,NA
1541009258103,1396858383,return,A,1349393271,NA,NA,NA,NA,NA,NA
1541009258102,1880587981,return,NA,1349393271,NA,NA,NA,NA,NA,NA
1541009258102,2094548358,return,Thread[Thread-1(comma)5(comma)main],0,NA,NA,NA,NA,NA,NA
1541009258103,373344771,call,Thread[Thread-1(comma)5(comma)main],1323165413,void,java.lang.String.valueOf,3,1,java.lang.String,A
1541009258103,373344771,return,A,1323165413,NA,NA,NA,NA,NA,NA
1541009258103,1198108795,call,Thread[Thread-1(comma)5(comma)main],1323165413,void,SemaphoreTest$MyATMThread.start,3,1,java.lang.String,A,0,NA,NA
1541009258103,664566682,call,NA,NA,void,java.lang.StringBuilder.<init>,3,1,java.lang.String,A
1541009258103,664566682,return,A,0,NA,NA,NA,NA,NA,NA
1541009258103,1198108795,return,NA,214126413,NA,NA,NA,NA,NA,NA
1541009258103,1726999360,call,A,214126413,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.String
1541009258103,396873410,call,NA,NA,class java.lang.StringBuilder,SemaphoreTest$MyATMThread.<init>,3,1,java.lang.String,C
1541009258103,1726999360,return,A : acquiring lock...,0,NA,NA,NA,NA,NA,NA
1541009258103,1706234378,call,NA,NA,class java.lang.StringBuilder,SemaphoreTest$MyATMThread.<init>,4,1,java.lang.String,C
1541009258103,1986999628,call,A : acquiring lock...,214126413,class java.lang.String,java.lang.StringBuilder.toString,4,0,NA,NA
1541009258103,1986999628,return,A : acquiring lock...,541265204,NA,NA,NA,NA,NA,NA
1541009258103,1867750575,call,Thread[Thread-2(comma)5(comma)main],541265204,class java.lang.String,SemaphoreTest$MyATMThread.<init>,4,0,NA,NA,1,java.lang.String,C
1541009258103,1690825229,call,java.io.PrintStream@4e50df2e,1313922862,void,java.io.PrintStream.println,5
1541009258103,2046562095,call,Thread[Thread-2(comma)5(comma)main],541265204,void,SemaphoreTest$MyATMThread.<init>,5,1,java.lang.String,C
1541009258104,1690825229,return,NA,541265204,NA,NA,NA,NA,NA,NA
1541009258104,1342443276,call,Thread[Thread-2(comma)5(comma)main],541265204,void,SemaphoreTest$MyATMThread.name,6,1,java.lang.String,
1541009258104,2112593982,call,NA,NA,void,java.lang.System.out,6,0,NA,NA
1541009258104,1342443276,return,NA,0,NA,NA,NA,NA,NA,NA
1541009258104,2112593982,return,java.io.PrintStream@4e50df2e,541265204,NA,NA,NA,NA,NA,NA
1541009258104,769287236,call,Thread[Thread-2(comma)5(comma)main],541265204,void,SemaphoreTest$MyATMThread.name,6
1541009258104,769287236,return,NA,1349393271,NA,NA,NA,NA,NA,NA
1541009258104,1914777498,call,Thread[Thread-0(comma)5(comma)main],1349393271,void,SemaphoreTest$MyATMThread.name,6,0,NA,NA
1541009258104,2046562095,return,NA,1349393271,NA,NA,NA,NA,NA,NA
1541009258104,1914777498,return,A,1349393271,NA,NA,NA,NA,NA,NA
1541009258104,1253291591,call,NA,NA,class java.lang.String,java.lang.String.valueOf,3,1,java.lang.String,A
1541009258103,396873410,return,Thread[Thread-2(comma)5(comma)main],0,NA,NA,NA,NA,NA,NA
1541009258104,1253291591,return,A,541265204,NA,NA,NA,NA,NA,NA
1541009258104,297759366,call,NA,NA,void,java.lang.StringBuilder.<init>,3,0,NA,NA
1541009258104,1587487668,call,NA,NA,void,SemaphoreTest$MyATMThread.start,3,0,NA,NA
1541009258104,297759366,return,A,0,NA,NA,NA,NA,NA,NA
1541009258104,838191839,call,A,1246985860,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.String, : available Semaphore permits now: 
1541009258104,1587487668,return,NA,1246985860,NA,NA,NA,NA,NA,NA
1541009258104,838191839,return,A : available Semaphore permits now: ,1246985860,NA,NA,NA,NA,NA,NA
1541009258104,1199823423,call,NA,NA,class java.lang.StringBuilder,SemaphoreTest$MyATMThread.<init>,3,1,java.lang.String,D
1541009258105,495319047,call,NA,NA,class java.lang.StringBuilder,SemaphoreTest.semaphore,3,0,NA,NA
1541009258105,932172204,call,NA,NA,class java.lang.StringBuilder,SemaphoreTest$MyATMThread.<init>,4,1,java.lang.String,D
1541009258105,495319047,return,java.util.concurrent.Semaphore@3feba861[Permits = 4],0,NA,NA,NA,NA,NA,NA
1541009258105,1332035430,call,java.util.concurrent.Semaphore@3feba861[Permits = 4],1072408673,int,SemaphoreTest$MyATMThread.run,5,0,NA,NA
1541009258105,2000978547,call,Thread[Thread-3(comma)5(comma)main],1848402763,int,java.util.concurrent.Semaphore.availablePermits,5,0,NA,NA,1,java.lang.String,D
1541009258105,1225358173,call,Thread[Thread-3(comma)5(comma)main],1848402763,int,SemaphoreTest$MyATMThread.<init>,5,0,NA,NA,1,java.lang.String,D
1541009258105,2000978547,return,4,0,NA,NA,NA,NA,NA,NA
1541009258105,1101191418,call,NA,NA,int,java.lang.System.out,6,0,NA,NA
1541009258105,1101191418,return,java.io.PrintStream@4e50df2e,1246985860,NA,NA,NA,NA,NA,NA
1541009258105,933699219,call,Thread[Thread-3(comma)5(comma)main],1848402763,int,SemaphoreTest$MyATMThread.<init>,7,1,java.lang.String,D
1541009258105,1761090934,call,A : available Semaphore permits now: ,1246985860,class java.lang.StringBuilder,java.lang.StringBuilder.append,8,1,java.lang.Integer,4
1541009258105,1167938582,call,Thread[Thread-1(comma)5(comma)main],1323165413,void,SemaphoreTest$MyATMThread.name,9
1541009258105,1761090934,return,A : available Semaphore permits now: 4,1848402763,NA,NA,NA,NA,NA,NA
1541009258105,2121055098,call,Thread[Thread-3(comma)5(comma)main],1848402763,void,SemaphoreTest$MyATMThread.name,9,1,java.lang.String,
1541009258105,1782200738,call,Thread[Thread-2(comma)5(comma)main],1848402763,void,SemaphoreTest$MyATMThread.run,9,1,java.lang.String,,0,NA,NA
1541009258105,1167938582,return,B,1848402763,NA,NA,NA,NA,NA,NA
