 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 6; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 6; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 7;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 7;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 7;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 4; component:2; state : 7;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 2; component:2; state : 7;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 2; component:2; state : 9;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 6; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 6; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 6; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 7;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 4; component:2; state : 7;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 4; component:2; state : 9;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 2; component:2; state : 9;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 7;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 4; component:2; state : 7;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 6; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 6; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 6; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 6; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 6; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 4; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 4; component:2; state : 7;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 4; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 4; component:2; state : 7;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 2; component:2; state : 7;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 7;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 7;  component:3; state: 6; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 7;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 7;  component:3; state: 6; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 6; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 6; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 6; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 7;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 6; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 6; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 7;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 4; component:2; state : 7;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 4; component:2; state : 9;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 4; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 4; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 4; component:2; state : 7;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 4; component:2; state : 9;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 2; component:2; state : 9;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 3; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
 component:1 ; state: 1; component:2; state : 8;  component:3; state: 5; time: 1540917890990; 
